Time:10154,AccPitch:110.57, AccRoll:101.31
Time:10160,AccPitch:111.04, AccRoll:102.10
Time:10166,AccPitch:111.38, AccRoll:102.08
Time:10172,AccPitch:112.65, AccRoll:102.95
Time:10178,AccPitch:112.92, AccRoll:103.25
Time:10184,AccPitch:113.03, AccRoll:103.21
Time:10190,AccPitch:114.62, AccRoll:103.93
Time:10196,AccPitch:114.73, AccRoll:103.91
Time:10202,AccPitch:113.91, AccRoll:103.56
Time:10208,AccPitch:113.63, AccRoll:103.69
Time:10214,AccPitch:114.41, AccRoll:103.96
Time:10220,AccPitch:113.17, AccRoll:103.15
Time:10226,AccPitch:113.57, AccRoll:103.38
Time:10232,AccPitch:114.17, AccRoll:103.71
Time:10238,AccPitch:112.10, AccRoll:102.82
Time:10244,AccPitch:114.93, AccRoll:104.22
Time:10250,AccPitch:114.35, AccRoll:104.28
Time:10256,AccPitch:113.11, AccRoll:103.38
Time:10262,AccPitch:113.20, AccRoll:103.38
Time:10268,AccPitch:111.64, AccRoll:102.91
Time:10274,AccPitch:113.55, AccRoll:103.48
Time:10280,AccPitch:112.99, AccRoll:103.49
Time:10286,AccPitch:113.95, AccRoll:103.53
Time:10292,AccPitch:111.88, AccRoll:102.56
Time:10298,AccPitch:112.80, AccRoll:103.50
Time:10304,AccPitch:113.39, AccRoll:103.06
Time:10310,AccPitch:113.91, AccRoll:104.08
Time:10316,AccPitch:115.49, AccRoll:104.24
Time:10322,AccPitch:112.99, AccRoll:103.04
Time:10328,AccPitch:113.31, AccRoll:103.14
Time:10334,AccPitch:113.22, AccRoll:103.64
Time:10339,AccPitch:113.78, AccRoll:103.54
Time:10345,AccPitch:114.83, AccRoll:104.49
Time:10351,AccPitch:114.40, AccRoll:103.92
Time:10357,AccPitch:114.22, AccRoll:103.97
Time:10363,AccPitch:113.71, AccRoll:103.31
Time:10369,AccPitch:111.43, AccRoll:102.61
Time:10375,AccPitch:114.07, AccRoll:103.63
Time:10381,AccPitch:113.10, AccRoll:103.15
Time:10387,AccPitch:111.87, AccRoll:102.69
Time:10393,AccPitch:114.02, AccRoll:103.47
Time:10399,AccPitch:113.48, AccRoll:103.23
Time:10405,AccPitch:113.71, AccRoll:103.47
Time:10411,AccPitch:114.18, AccRoll:103.80
Time:10417,AccPitch:114.97, AccRoll:104.44
Time:10423,AccPitch:114.11, AccRoll:103.93
Time:10429,AccPitch:114.26, AccRoll:103.93
Time:10435,AccPitch:113.45, AccRoll:103.68
Time:10441,AccPitch:113.31, AccRoll:103.53
Time:10447,AccPitch:114.28, AccRoll:103.79
Time:10453,AccPitch:113.13, AccRoll:103.27
Time:10459,AccPitch:113.82, AccRoll:103.63
Time:10465,AccPitch:112.69, AccRoll:103.08
Time:10471,AccPitch:113.41, AccRoll:103.51
Time:10477,AccPitch:113.47, AccRoll:103.42
Time:10483,AccPitch:113.65, AccRoll:103.43
Time:10489,AccPitch:113.60, AccRoll:103.15
Time:10495,AccPitch:113.21, AccRoll:103.19
Time:10501,AccPitch:113.76, AccRoll:103.43
Time:10507,AccPitch:112.97, AccRoll:103.14
Time:10513,AccPitch:113.90, AccRoll:103.46
Time:10519,AccPitch:113.97, AccRoll:103.94
