Time:9067,AccPitch:108.75, AccRoll:101.16
Time:9073,AccPitch:109.22, AccRoll:101.06
Time:9079,AccPitch:109.73, AccRoll:101.30
Time:9085,AccPitch:109.62, AccRoll:101.70
Time:9090,AccPitch:109.95, AccRoll:101.69
Time:9096,AccPitch:109.41, AccRoll:101.26
Time:9102,AccPitch:109.56, AccRoll:101.67
Time:9108,AccPitch:108.70, AccRoll:100.79
Time:9114,AccPitch:108.21, AccRoll:101.08
Time:9120,AccPitch:107.72, AccRoll:100.52
Time:9126,AccPitch:107.88, AccRoll:100.42
Time:9132,AccPitch:109.57, AccRoll:101.36
Time:9138,AccPitch:108.64, AccRoll:100.92
Time:9143,AccPitch:107.34, AccRoll:100.34
Time:9149,AccPitch:108.84, AccRoll:101.10
Time:9155,AccPitch:109.42, AccRoll:101.43
Time:9161,AccPitch:108.72, AccRoll:100.72
Time:9167,AccPitch:108.71, AccRoll:101.16
Time:9173,AccPitch:109.32, AccRoll:101.46
Time:9179,AccPitch:110.12, AccRoll:101.76
Time:9185,AccPitch:107.81, AccRoll:100.47
Time:9191,AccPitch:108.90, AccRoll:101.09
Time:9197,AccPitch:108.29, AccRoll:100.69
Time:9202,AccPitch:109.09, AccRoll:101.29
Time:9208,AccPitch:109.49, AccRoll:101.45
Time:9214,AccPitch:108.54, AccRoll:100.83
Time:9220,AccPitch:110.49, AccRoll:101.92
Time:9226,AccPitch:108.90, AccRoll:101.25
Time:9232,AccPitch:108.61, AccRoll:100.73
Time:9238,AccPitch:109.13, AccRoll:101.28
Time:9244,AccPitch:109.13, AccRoll:101.24
Time:9250,AccPitch:109.01, AccRoll:101.46
Time:9255,AccPitch:-017.74, AccRoll:076.92
Time:9261,AccPitch:-177.87, AccRoll:162.43
Time:9267,AccPitch:133.21, AccRoll:172.49
Time:9273,AccPitch:121.49, AccRoll:-165.33
Time:9279,AccPitch:125.87, AccRoll:-173.75
Time:9285,AccPitch:135.00, AccRoll:-161.86
Time:9291,AccPitch:041.30, AccRoll:037.13
Time:9297,AccPitch:139.17, AccRoll:-155.46
Time:9303,AccPitch:112.25, AccRoll:149.52
Time:9309,AccPitch:085.93, AccRoll:070.59
Time:9315,AccPitch:112.51, AccRoll:134.68
Time:9321,AccPitch:027.56, AccRoll:054.00
Time:9327,AccPitch:-005.69, AccRoll:054.59
Time:9333,AccPitch:-003.43, AccRoll:039.37
Time:9339,AccPitch:013.99, AccRoll:052.74
Time:9345,AccPitch:010.95, AccRoll:070.59
Time:9350,AccPitch:-016.65, AccRoll:075.79
Time:9356,AccPitch:061.37, AccRoll:083.23
Time:9362,AccPitch:090.76, AccRoll:090.37
Time:9368,AccPitch:125.36, AccRoll:120.86
Time:9374,AccPitch:120.24, AccRoll:117.23
Time:9380,AccPitch:127.41, AccRoll:125.73
